Name,Science,Math,Language,Social,Pass?
Alice,62,88,14,9.29E+01,YES
Bob,A,70,13,9.81E+01,YES
Charlie,-66,79,11,8.12E+01,NO
David,68,52,96,5.12E+01,YES
Eve,98,98,26,4.05E+01,YES
Alpha,53,90.5,#N/A,7.14E+01,#N/A
Bravo,1/01/2000,71,45,9.35E+01,YES
Delta,74.96075412,70,56,8.30E+01,YES
Echo,82.95811888,80,14,9.83E+01,YES
Foxtrot,64.49239324,69,#N/A,6.22E+01,#N/A
Golf,#N/A,78,91,3.31E+01,#N/A
Hotel,85.36473965,1/01/2000,90,9.17E+01,YES
India,54.27095967,68,56,3.36E+01,NO
Juliet,51.02196099,54,46,2.95E+01,NO
Kilo,A,68,50,71.7549,YES
Lima,75.50299212,#N/A,72,41.4306,#N/A
Mike,60.82095428,83,#N/A,22.9058,#N/A
Nancy,55.61551717,95,100,22.2385,YES
Oscar,82.36900637,71,36,59.2653,YES
Papa,91.25983179,65,79,13.4735,YES
Que,54.74104155,54,48,22.7323,NO
Romeo,70.30970533,59,25,45.5469,NO
Sierra,82.62669789,51,#N/A,25.5029,#N/A
Tango,60.95833566,50,34,61.1256,NO
UV,72.04755229,68,21,83.2856,YES
Victor,63.45361569,87,44,49.7838,YES
Wyatt,54.59345617,82,12,78.6397,NO
X-ray,54.34678319,52,95,15.5523,NO
Yankee,63.81877154,89,69,95.7435,YES
Zulu,58.03032337,59,34,36.2349,NO
